ID,Language,Value,Comment	
pqm_A_mod,pqm,no(?),
pqm_A_N,pqm,/,
pqm_N_A,pqm,/,
pqm_AP_N,pqm,/,
pqm_A_XP_N,pqm,/,
pqm_XP_A_N,pqm,/,
pqm_N_AP,pqm,/,
pqm_N_A_XP,pqm,/,
pqm_N_XP_A,pqm,/,
pqm_A_attr,pqm,/,
pqm_A_attr_obl,pqm,/,
pqm_A_attr_pos,pqm,/,
pqm_A_pred,pqm,/,
pqm_A_dep,pqm,/,
pqm_A_XP,pqm,/,
pqm_XP_A,pqm,/,
,,,
pqm_V_mod,pqm,no,
pqm_V_N,pqm,/,
pqm_N_V,pqm,/,
pqm_VP_N,pqm,/,
pqm_V_XP_N,pqm,/,
pqm_XP_V_N,pqm,/,
pqm_N_VP,pqm,/,
pqm_N_V_XP,pqm,/,
pqm_N_XP_V,pqm,/,
pqm_V_attr,pqm,/,
pqm_V_attr_obl,pqm,/,
pqm_V_attr_pos,pqm,/,
pqm_V_pred,pqm,/,
pqm_V_dep,pqm,/,	
pqm_V_XP,pqm,/,		
pqm_XP_V,pqm,/,
,,,
pqm_C_mod,pqm,yes,
pqm_C_int,pqm,yes,
pqm_C_ext,pqm,yes,
pqm_C_N,pqm,yes,
pqm_N_C,pqm,no(?),
pqm_C_attr,pqm,no,OBV & see Email 
pqm_C_attr_obl,pqm,/,
pqm_C_attr_pos,pqm,/,
,,,
pqm_P_mod,pqm,,
pqm_Prep,pqm,no(?),		
pqm_Post,pqm,yes,		
pqm_Prep_N,pqm,\,		
pqm_N_Prep,pqm,\,		
pqm_Post_N,pqm,yes, 
pqm_N_Post,pqm,yes,
pqm_P_attr,pqm,yes,
pqm_P_attr_obl,pqm,yes,Relativization/nominalization with ka(to) & comitative with yá
pqm_attr_pos,pqm,,attached to the last element of the RC adpositional phrases
