ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
eus_ex_01,eus,eus_A eus_N_M_M,,etxe zuri txiki polit bat,house white little pretty a,a pretty little white house,"(Hualde & Ortiz de Urbina_2003, p.137, ex.100)",
eus_ex_02,eus,eus_A_attr eus_N_A eus_N_AP,,*emakume [bere lanaz harro] a,woman her work.INST proud DET,Intended: ‘a woman proud of her work’,"(Hualde et al._2003, p.138, ex.103)","Transitive adjective phrases are confined to predicate position, and may not occur inside a noun phrase (Hualde & Ortiz de Urbina_, p.138)."
eus_ex_03,eus,eus_V_attr eus_V_N eus_XP_V_N eus_V_lnk eus_V_lnk_obl,,[bere lanaz harroa dagoen] emakumea,her work.INST proud.DET is.COMP woman-DET,a woman who is proud of her work,"(Trask_2003, p.138, ex.104)","When used to modify a noun phrase, transitive adjective phrases must be in the forms of relative clauses(Hualde & Ortiz de Urbina_2003, p.138)."
eus_ex_04,eus,eus_A_attr eus_A_N,,euskal idazleak,Basque writer.DET.PL,Basque writers,"(Hualde & Ortiz de Urbina_2003, p.139)", "Some modifiers denoting nationality can precede or (occasionally) follow the head noun, but euskal is unique, in that it is explicitly a combining form and hence must precede the head."
eus_ex_05,eus,eus_A_attr eus_A_N,,esku ezkerra,left hand.DET,the left hand,"(Hualde & Ortiz de Urbina_2003, p.139)",
eus_ex_06,eus,eus_A_pred eus_AP eus_XP_A,,Bere lan-az harroa dago.,his work.INST proud.DET is,She is proud of her work.,"(Hualde & Ortiz de Urbina_2003, p.138, ex.102)","Such transitive adjective phrases are confined to predicate position, and may not occur inside a noun phrase (Hualde & Ortiz de Urbina_2003, p.138)."
eus_ex_07,eus,eus_A_pred,,Liburu hau interesgarri-a da.,book this interesting.DET is,This book is interesting.,"(Hualde & Ortiz de Urbina_2003, p. 121, ex.78)",
eus_ex_08,eus,eus_V_attr eus_V_N eus_V_lnk eus_V_lnk_obl,,azkarra den emakumea,smart.DET AUX.COMP woman.DET,the woman that is smart,"(Laka_1996, p. 25, ex.1d)", 
eus_ex_09,eus,eus_A_attr eus_N_A,,etxe errea,house burn.PERF,a burned-out house,"(Hualde & Ortiz de Urbina_2003, p. 142)","The perfective participle of a verb may function as an ordinary lexical adjective. In Eastern varieties (only), such articples can alsp take modifiers and complements and can used in a prenominal position (Hualde & Ortiz de Urbina_2003, p. 142)."
eus_ex_10,eus,eus_A_attr eus_N_A,,haur ongi ikasiak,child ok learn.PERF.DET.PL,well-educated children,"(Hualde & Ortiz de Urbina_2003, p. 142)","The perfective participle of a verb may function as an ordinary lexical adjective. In Eastern varieties (only), such articples can alsp take modifiers and complements and can used in a prenominal position (Hualde & Ortiz de Urbina_2003, p. 142).  "
,,,,,,,,
eus_ex_11,eus,eus_V_attr eus_V_N eus_VP_N eus_XP_V_N eus_V_lnk eus_V_lnk_obl,,[loreak eman dizkiodan] neska,flowers give AUX.COMP girl,the girl I gave flowers to,"(Hualde & Ortiz de Urbina_2003, p. 149, ex.112)",
eus_ex_12,eus,eus_V_attr eus_V_N eus_V_lnk eus_V_lnk_obl,,[etorri ez den] gizona, come not AUX.COMP man.DET, the man who didn’t come,"(Hualde & Ortiz de Urbina_2003, p. 523, ex.1090)",
eus_ex_13,eus,eus_V_attr eus_V_N eus_VP_N eus_V_lnk eus_V_lnk_obl eus_V_attr_agr,,merkatuan erosi dituzun sagarrak,market.LOC buy AUX.COMP apple.DET.PL,'the apples that you bought in the market,"(Hualde & Ortiz de Urbina_2003, p. 765, ex.1850)",
,,,,,,,,
,P block/ =ko phrase,,,,,,,
eus_ex_14,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,Bizkaiko Golkoa,Biscay=ko guld.DET,the Bay of Biscay,"(Hualde & Ortiz de Urbina_2003, p. 138)",nationality modifier can form a complex modifier with the suffix =ko
eus_ex_15,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,atzoko egunkaria,yesterday=ko newspaper.DET,yesterday's newspaper,"(Hualde & Ortiz de Urbina_2003, p. 145)",suffix =ko can be added to simple lexical adverbs such as 'atzo' (yesterday)
eus_ex_16,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,hitzez hitzeko itzulpena,words-in words=ko translation.DET,a word-for-word translation,"(Hualde & Ortiz de Urbina_2003, p. 145)",suffix =ko can be added to morphologically complex adverbs such as 'hitzez hitz' (word for word)
eus_ex_17,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,mendietako haitzuloak,mountains.DET.PL=ko cave.DET.PL,the caves in the mountains,"(Hualde & Ortiz de Urbina_2003, p. 145)",suffix =ko can be added to an NP marked for any local case such as 'mendietan' (in the mountains)
eus_ex_18,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,lostagabeko emakume bat,shame-without=ko woman a,a shameless woman,"(Hualde & Ortiz de Urbina_2003, p. 146)","suffix =ko can be added to a postpositional phrase such as 'losta gabe' (without shame)"
eus_ex_19,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,gerra-ondoko mundua,war-side.LOC/after world.DET,'the post-warworl,"(Hualde & Ortiz de Urbina_2003, p. 146)","gerra ondoan 'after the war'"
eus_ex_20,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,usoak iragaiten direneko haroa,dove.DET.PL pass.IMPF AUX.COMP.REL/=ko? season.DET,the season when doves pass over,"(Hualde & Ortiz de Urbina_2003, p. 147, ex_109b)","suffix =ko can be added to a finite adverbial clause (only in certain circumstances, notably with temporal clauses, since most other formations would be senseless)"
eus_ex_21,eus,eus_PP_attr eus_PostP eus_P_lnk eus_P_lnk_obl,,[atzo Bilbon erositako] eraztuna,yesterday Bilbo-in buy.PERF-ta=ko ring.DET,the ring bought yesterday in Bilbao,"(Laka_1996, p. 35, ex.29a)",suffix =ko can be added in an adverbial participle in -ta or -(r)ik (together with its arguments and adjuncts)
