ID,Language,Value,Comment
cao_A_mod,cao,yes,
cao_A_N,cao,no,
cao_N_A,cao,yes,
cao_AP_N,cao,/,
cao_A_XP_N,cao,/,
cao_XP_A_N,cao,/,
cao_N_AP,cao,yes,
cao_N_A_XP,cao,yes,
cao_N_XP_A,cao,no,ungrammaticality? processing difficulties?
cao_A_attr,cao,no,
cao_A_attr_obl,cao,/,
cao_A_attr_pos,cao,/,
cao_A_pred,cao,yes,
cao_A_dep,cao,yes,
cao_A_XP,cao,yes,the more natural alternative
cao_XP_A,cao,yes,
,,,
cao_V_mod,cao,yes,
cao_V_N,cao,no,
cao_N_V,cao,yes,
cao_VP_N,cao,/,
cao_V_XP_N,cao,/,
cao_XP_V_N,cao,/,
cao_N_VP,cao,yes,
cao_N_V_XP,cao,no,
cao_N_XP_V,cao,yes,
cao_V_attr,cao,yes,
cao_V_attr_obl,cao,yes,
cao_V_attr_pos,cao,,attached to the end of the adjectivalized verb stem (?)
cao_V_pred,cao,no,
cao_V_dep,cao,/,	
cao_V_XP,cao,/,		
cao_XP_V,cao,/,
,,,
cao_C_mod,cao,yes,
cao_C_N,cao,no,
cao_N_C,cao,yes,
cao_C_attr,cao,yes,=ka
cao_C_attr_obl,cao,yes,
cao_C_attr_pos,cao,,attached to the predicate of the RC
,,,
cao_P_mod,cao,yes,
